Organization Name,Website,General Email,Founder Email,Country,Mission,Focus,Number of diseases,Rare Disease Focus,Confirmed Nonprofit status,founding_year,stakeholder_type,stakeholder_category,Founder names,Website mentions drug repurposing,Does organization utilize a biobank?,Does organization collect contact info?,Does organization utilize a natural history study/registry?,Does organization utilize a communication discussion platform?,Does organization have a formalized research agenda?,Does organization utilize crowdsourcing for research agenda?,Does organization have an SAB/MAB? ,Does organization have formalized treatment guidelines?,Does organization organize a conference?,"Is organization a member of umbrella organizations (NORD, Global genes, etc)?"
11q Research and Resource Group,https://www.11qusa.org/home,11qusa@gmail.com,N/A,United States of America,"Our mission is to provide support and organizational efforts for the parents, as well as friends and family, of all children with 11th chromosome abnormalities, including deletions (monosomy), duplications (trisomy) and translocations. Through networking, cooperation with the research community, and the resulting sharing of information, we will be better able to meet the challenges brought to us as parents, families and friends of 11q children.","Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection), Basic research",A set of diseases,Jacobsen syndrome,Yes,2000,Unknown,Unknown,unknown,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),No (the organization doesn't have or doesn't mention a research agenda),Unknown (the organization does not mention a scientific advisory board),Yes,Yes,Global Genes (Rare Foundation Alliance)
17q12 Foundation,http://www.chromo17q12.org/,chromosome17q12@gmail.com,N/A,United States of America,"Our goal is to provide support, begin a registry to gain an accurate number of individuals affected, fund much-needed research, and to create awareness and understanding.","Patient support (ex. Communication, community connection), Disease awareness, Basic research, Fundraising efforts",A set of diseases,17q12 deletion syndrome,Yes,2017,"Parent of a patient, genetic counselor","Loved one, Other",unknown,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a scientific advisory board),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),Global Genes (Rare Foundation Alliance)
1p36 Deletion Support & Awareness,http://www.1p36dsa.org/,info@1p36dsa.org,k.shirtcliff@1p36dsa.org,United States of America,"Our mission is to help individuals affected by chromosome 1p36 abnormalities overcome the obstacles they face to be able to lead healthy, happy and productive lives. We do this by providing support and education to their families and increasing awareness of chromosome 1p36 abnormalities in the public and medical community.","Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection), Disease awareness",One specific disease,1p36 Deletion Syndrome,Yes,2009,Parent of a patient,Loved one,unknown,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a scientific advisory board),Yes,Yes,Global Genes (Rare Foundation Alliance)
4p- Support Group,https://4p-supportgroup.org/,amanda@4p-supportgroup.org,amanda@4p-supportgroup.org,United States of America,"The mission of the 4p- Support Group is to improve access to 4p- information to parents, family members and care providers of individuals who have a 4th chromosomal abnormality (Wolf-Hirschhorn Syndrome is the main syndrome).","Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection)",A set of diseases,Wolf-Hirschhorn Syndrome,Yes,1984,Parent of a patient,Loved one,Becky Richardson,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,Global Genes (Rare Foundation Alliance)
5p-Society,https://fivepminus.org/,director@fivepminus.org,director@fivepminus.org,United States of America,To maximize quality of life for individuals with 5p- and their families.,"Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection), Fundraising efforts",One specific disease,Cat Cry Syndrome,Yes,1986,Parent of a patient,Loved one,unknown,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,"Global Genes (Rare Foundation Alliance), RDNetwork"
A Breath Of Hope Foundation For NMO - Neuromyelitis Optica,https://abreathofhopefornmo.org/,heather@abreathofhopefornmo.org,N/A,United States of America,"A Breath of Hope Foundation  for Neuromyelitis Optica works to provide services for patients and their caregivers by empowering patients, providing services, building public awareness, educating patients and their caregivers, funding on-going neuromyelitis optica research and, by financially helping patients find and pay for services that they need. We want to help patients and caretakers get back on their feet and help them adjust to their new normal.","Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), External disease awareness, Fundraising efforts",One specific disease,Neuromyelitis Optica,Yes,2020,Patient,Patient,Ashlee Olsen,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Unknown (the organization does not mention a SAB/MAB),Yes,Unknown (the organization does not mention an annual conference),None Listed
A Cure for Ellie,https://acureforellie.org/,ACureforEllie@gmail.com,N/A,United States of America,"“A Cure for Ellie” is a registered non-profit organization dedicated to raising awareness and funds for research into LBSL, a progressive and very rare genetic disorder that affects the brain and spinal cord; most often developing in children, affecting their ability to walk, then even to stand and coordinate fine and gross motor skills.  We also provide information and support to families and individuals living with the disease.","Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,Leukoencephalopathy with Brain Stem and Spinal Cord Involvement and Lactate Elevation,Yes,2013,"Patient, Patient's loved one (parent, spouse, etc)., Fund raiser","Patient, Loved one, Other","Michael McGinn, Beth Frigola McGinn",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history study),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Chan Zuckerberg Initiative's Rare as One Cohort"
A Cure in Sight,https://acureinsight.org/?v=7516fd43adaa,contact@acureinsight.org,N/A,United States of America,"A Cure in Sight bringing clarity, support and compassion to the darkness of ocular melanoma.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), External disease awareness",One specific disease,ocular melanoma,Yes,2012,Patient,Patient,"Melody Kling, Megan Bekkedahl, Laura Duvall, Tania Herfurth",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Yes,NORD
A Foundation Building Strength for Nemaline Myopathy,https://buildingstrength.org/,info@buildingstrength.org,N/A,United States of America,A Foundation Building Strength is a non–profit organization dedicated to finding treatments for Nemaline Myopathy.,"Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Drug Repurposing, Fundraising efforts",One specific disease,Nemaline Myopathy,Yes,2008,"Patient's loved one (parent, spouse, etc).",Loved one,Marc Guillet,"There is currently research on drug repurposing for the treatment of neb nemaline myopathy. Dr. Bryson-Richardson’s project continues a previously funded project that tested a total of 1,443 FDA-approved drugs on NM-affected fish. This endeavor focuses on 20 drugs that demonstrated a positive effect on the fish. The team will find the most effective non-toxic dose, perform tests on long-term survival and muscle functionality and, going the extra mile, test two treatment regimes 1) beginning from birth, and 2) commencing after the onset of disease symptoms to more closely mimic the situation in patients. This final aim will help to determine if treatment can either prevent or delay the loss of function or restore function, respectively. This research is taking place at Monash University in Australia. - https://buildingstrength.org/research/",Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Yes,Yes,Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),Global Genes (Rare Foundation Alliance)
A Nonprofit Group Enriching Lives (ANGEL AID),https://www.angelaidcares.org/,info@anglaidcares.org,N/A,United States of America,"ANGEL AID's purpose is to source research, relief, and inspiration for mothers of children with rare diseases.","Patient community development (eg. Communications, community connection with patients and loved ones), Basic research (how the disease works), Support for patient's families (specifically mothers)",A set of diseases,"The organization was originally formed to raise funds for Mucopolysaccharidosis (MPSII, aka Hunters Syndrome), but the organization now funds many other rare diseases.",Yes,2000,"Patient's loved one (parent, spouse, etc).",Loved one,Cristol Barrett O'Loughlin,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,"NORD, Global Genes (Rare Foundation Alliance), NIH Genetic and Rare Disease Information Center"
A Twist of Fate-ATS,http://www.atwistoffate-ats.org/,contact form,andreataylor01@yahoo.com,United States of America,"find a cure for arterial tortuosity syndrome, by supporting research, education, awareness, and families","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Basic research (how the disease works)",One specific disease,Arterial tortuosity syndrome,Yes,2013,"Patient's loved one (parent, spouse, etc).",Loved one,Andrea Taylor,N/A,Yes (the organization utilizes a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance)"
